a,b,c,d
F,H,G,H
A,C,G,H
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,C,G,H
B,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
E,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,H,H,I
C,H,K,I
C,H,K,I
C,H,K,J
C,H,K,J
C,H,G,J
C,H,K,J
C,H,K,J
A,H,K,J
C,H,J,J
C,H,K,J
D,F,K,J
D,H,K,J
D,F,K,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,K
D,H,I,K
D,F,I,K
B,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,K,K
C,D,J,K
D,H,K,K
D,C,K,K
D,H,K,K
D,H,I,K
D,H,K,K
D,H,K,K
D,F,K,K
D,H,K,K
C,H,K,K
C,H,K,K
C,F,K,K
C,F,J,K
C,F,J,I
C,F,H,I
C,F,J,I
C,F,K,I
C,F,J,I
C,F,J,I
F,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,G,I,I
E,G,J,I
E,G,I,I
E,F,G,J
E,G,I,J
A,F,I,J
E,G,I,J
E,G,I,J
E,G,H,J
E,G,I,J
E,G,G,J
E,G,J,J
E,G,I,J
E,G,I,J
E,G,I,J
F,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
F,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,F,I,K
E,G,I,K
E,G,G,K
E,G,I,K
E,G,I,K
E,G,J,K
E,G,I,K
E,G,I,K
E,G,H,K
E,F,I,K
E,G,I,K
E,G,I,K
B,G,I,K
B,C,I,K
B,D,I,K
E,D,H,K
A,D,H,I
B,F,H,I
B,D,H,I
B,D,H,I
A,D,H,I
B,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
A,H,H,I
A,C,H,I
A,G,G,I
