a,b,c,d,e
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,K,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,J,M
A,H,H,G,M
F,C,H,L,M
A,C,J,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,G,G,L,M
A,C,J,L,M
A,C,H,K,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
C,C,H,L,M
C,C,I,L,M
C,C,H,L,M
C,D,H,L,M
C,G,H,L,M
C,D,H,L,M
C,D,K,L,M
C,F,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,G,I,L,M
C,D,I,L,M
C,F,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,K,M
C,D,I,K,H
C,D,I,K,H
C,D,I,I,H
C,D,I,K,H
F,D,I,K,H
C,C,I,K,H
F,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,K,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,I,K,H
C,F,J,K,H
B,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
E,F,J,G,H
E,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,J,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,I,G,J
D,F,J,G,J
D,F,J,H,J
D,F,J,G,J
D,F,K,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,H,J
D,F,J,G,J
D,F,J,G,J
D,F,J,I,J
D,F,J,G,J
D,F,J,G,J
D,F,I,G,J
D,F,H,G,J
F,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,H,J,J,J
A,H,J,G,J
A,H,J,G,H
A,H,J,G,H
A,H,H,G,H
A,H,G,G,H
A,C,G,G,H
A,G,G,L,H
F,G,G,G,H
A,G,G,H,H
A,C,G,I,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
B,F,G,G,I
C,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,I,I
F,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,D,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
F,G,H,G,I
A,G,G,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
A,F,H,G,I
A,G,H,G,I
A,G,H,G,I
A,H,H,G,I
A,G,H,G,I
A,C,H,L,I
D,H,H,G,I
A,C,G,G,I
A,D,H,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,L,L
A,C,G,L,L
A,D,I,L,M
A,D,G,L,M
A,C,G,J,M
A,C,G,L,M
A,C,G,L,M
A,F,G,L,M
A,C,J,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,H,M
A,C,G,H,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,D,G,J,M
A,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,I,M
C,F,G,L,M
C,F,I,L,M
C,F,G,L,M
C,F,G,L,M
C,F,I,L,M
C,F,I,L,M
C,G,I,L,M
F,F,I,J,M
C,F,I,J,M
C,F,I,J,K
C,F,I,J,K
C,F,I,G,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,G,K
C,F,I,J,K
C,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
A,F,I,J,K
B,F,I,J,K
A,D,I,J,K
B,D,I,J,K
B,D,H,J,K
B,D,K,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,H,K
B,D,J,I,K
B,F,J,I,L
F,D,J,I,L
B,F,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
F,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,C,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,K,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
D,F,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,J,J,L
B,D,K,J,L
A,D,K,H,L
A,D,K,J,L
A,H,K,J,L
A,D,K,J,L
A,D,J,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,H,J,L
A,D,H,I,L
A,D,H,J,M
A,D,H,J,M
A,D,H,K,M
A,D,H,H,M
A,D,H,H,M
A,D,J,H,M
A,D,H,H,M
A,D,H,H,M
A,D,G,H,M
A,D,H,H,M
A,G,H,H,M
A,D,H,J,M
A,D,K,H,H
A,G,H,H,H
A,D,H,H,H
A,D,H,H,H
A,H,H,H,H
A,D,H,H,H
A,C,H,H,H
A,C,I,H,H
A,C,J,H,H
A,C,H,H,H
A,C,H,L,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,H,H,J,I
A,C,J,H,I
A,C,H,H,I
A,H,H,H,I
A,C,H,H,I
A,C,H,H,I
A,H,G,H,I
A,H,G,H,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,I,K,I
A,H,H,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,J,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,G,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,C,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
D,H,I,J,K
C,H,G,J,K
D,H,H,J,K
D,H,H,J,J
D,H,H,J,J
D,H,G,J,J
B,H,H,G,J
D,H,H,G,J
D,H,H,H,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,C,H,G,J
D,H,H,G,J
D,H,H,G,J
D,H,H,J,J
D,H,G,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,G,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,J,J
D,H,J,J,J
D,H,H,J,J
D,H,G,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,I,J
F,H,H,J,J
F,H,H,J,J
F,F,H,J,J
A,F,H,J,J
F,F,H,J,J
F,F,K,I,J
F,F,K,G,J
F,F,K,I,J
F,F,K,I,H
F,F,K,I,H
F,F,K,L,H
F,F,K,J,H
F,F,K,J,L
F,F,J,J,L
F,F,K,J,L
F,C,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
B,C,K,J,L
F,F,H,J,L
F,G,K,J,L
F,F,K,J,L
F,F,K,H,L
E,F,K,J,L
F,F,K,J,L
F,D,K,J,L
F,F,K,J,L
F,D,K,J,L
F,F,K,J,L
F,F,I,J,L
F,F,K,G,L
F,F,G,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,C,K,J,L
C,F,K,J,L
E,F,K,J,L
C,F,K,J,L
C,G,K,J,L
C,G,K,H,L
C,G,K,J,L
C,G,K,J,L
C,G,G,J,L
C,G,G,J,L
C,G,G,J,L
C,G,G,J,L
C,G,G,G,L
C,G,G,L,L
C,G,G,L,M
C,G,K,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,K,L,M
C,G,G,K,M
C,G,G,L,M
E,H,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
E,H,G,L,M
E,G,G,L,M
E,G,G,L,M
E,D,G,L,M
E,D,G,L,M
E,D,G,L,M
E,D,I,L,M
A,D,J,L,M
E,D,J,L,M
E,D,J,L,M
E,D,J,L,M
E,D,J,J,M
E,D,J,L,M
E,D,H,J,H
B,D,J,J,H
E,D,J,J,H
E,D,J,J,H
E,D,I,J,H
E,F,I,J,H
E,D,I,J,H
E,D,H,J,H
E,D,I,J,H
B,H,I,J,H
E,D,I,K,K
E,D,I,K,K
E,D,G,K,K
C,D,I,K,K
E,D,I,K,K
E,D,I,K,K
E,D,K,K,K
E,D,K,K,K
E,G,K,K,K
E,D,K,K,K
E,D,K,H,K
E,D,K,K,K
F,D,K,G,K
E,D,K,K,K
E,D,I,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,H,G,K,H
E,D,G,K,H
E,D,G,K,H
B,D,G,K,H
B,D,G,K,H
B,D,G,J,H
B,D,G,J,H
B,D,G,J,H
B,D,G,J,H
B,D,I,J,H
B,D,G,H,H
B,D,G,J,H
B,G,H,K,H
D,D,G,J,H
D,D,G,J,H
D,D,G,J,M
D,D,G,G,M
D,D,G,J,M
D,D,G,J,M
D,D,G,L,M
D,D,G,H,M
D,D,G,K,M
D,D,G,J,M
F,D,G,J,M
D,D,G,J,M
B,F,G,J,M
D,D,G,J,M
D,D,G,J,M
C,D,G,J,M
E,D,G,J,M
C,G,G,I,M
C,D,G,J,M
C,D,J,J,M
D,D,I,J,M
C,D,I,J,M
B,G,I,J,M
C,D,I,J,M
C,D,G,J,M
C,D,I,J,M
C,D,K,J,M
C,G,I,J,M
E,D,I,J,M
C,D,I,J,M
C,D,G,K,M
C,D,H,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,I,H
C,D,I,J,H
D,D,I,K,H
D,D,I,L,H
D,G,H,K,H
D,F,I,K,H
D,F,J,K,H
D,G,J,K,H
D,F,J,K,H
D,F,J,K,H
D,G,J,K,H
D,F,J,K,H
D,H,J,K,H
D,H,J,K,H
D,H,J,L,H
D,H,J,K,H
E,D,J,K,H
D,H,J,G,H
E,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,D,J,G,J
E,H,J,K,J
D,H,J,H,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,J,J
A,D,J,G,J
A,H,H,G,J
A,G,K,G,J
A,H,G,G,J
A,H,J,G,J
A,G,J,G,J
A,G,J,G,J
A,G,J,G,J
F,G,J,G,I
A,G,K,G,I
A,H,K,G,I
A,G,K,G,I
A,G,K,I,I
A,G,K,G,I
A,G,K,G,I
E,C,K,G,I
E,G,I,G,I
E,G,K,G,I
D,G,K,G,I
E,G,K,G,I
E,G,K,L,I
E,G,K,L,I
D,G,K,L,I
E,G,K,L,I
E,D,K,L,I
E,H,K,L,I
A,G,K,L,I
E,G,K,L,I
E,G,K,L,I
E,G,K,L,I
B,G,H,G,I
E,G,K,L,I
E,G,G,L,I
E,G,K,L,I
E,G,K,L,I
E,C,K,L,I
E,C,K,L,I
E,C,K,L,I
E,C,K,L,M
E,C,I,L,M
A,C,I,L,M
A,F,I,L,M
A,C,I,L,M
F,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,K,L,M
A,C,I,L,M
C,C,I,K,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,H,I,L,M
F,C,I,L,M
A,C,I,L,M
B,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,G,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
C,C,I,L,M
C,C,I,L,M
C,D,I,L,M
C,H,I,I,M
C,D,I,L,M
C,D,K,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
B,H,J,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,G,L,M
C,D,I,K,M
C,C,I,K,H
