a,b,c,d
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,J,H
A,C,G,H
A,C,G,H
A,C,G,H
E,C,G,H
B,D,G,H
B,D,H,H
B,D,J,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,H,H,I
B,H,K,I
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
A,H,K,J
C,H,K,J
C,H,K,J
D,H,K,J
D,F,K,J
D,F,I,J
F,F,I,J
D,F,I,J
D,F,I,J
D,F,I,K
E,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
C,H,K,K
D,H,K,K
C,D,K,K
C,F,K,K
C,F,J,K
C,F,J,I
C,F,J,I
C,F,K,I
B,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,F,J,I
E,G,J,I
E,D,I,I
E,F,G,J
D,G,I,J
F,G,K,J
E,G,G,J
E,G,H,J
E,G,I,J
E,D,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,H,J
E,D,G,J
E,G,I,J
B,G,I,K
E,C,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,G,K
E,F,I,K
E,G,I,K
E,C,I,K
B,G,I,K
B,D,I,K
B,D,H,K
B,H,H,I
B,D,H,I
B,D,H,I
B,D,H,I
D,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,H,I
F,C,G,I
A,C,G,H
A,G,G,H
A,C,G,H
A,C,J,H
A,C,G,H
A,C,G,H
A,C,G,H
E,C,G,H
E,D,G,H
E,D,H,H
E,D,K,L
E,D,H,L
E,D,H,L
A,C,H,L
E,D,I,L
E,D,H,L
E,D,H,L
A,C,J,L
A,C,H,L
A,C,G,L
A,F,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,D,G,H
C,D,G,H
B,D,H,H
B,D,H,I
C,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,G,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,F,G,H
C,C,G,H
A,C,G,H
A,G,G,H
D,C,G,H
D,G,G,H
D,G,H,H
D,G,H,I
B,G,H,I
D,G,H,I
D,G,H,I
D,G,H,I
D,G,K,I
D,G,K,I
F,G,H,I
F,H,J,I
E,H,K,I
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,G,K,J
F,D,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,C,K,J
F,F,K,J
F,H,K,J
F,H,I,J
F,H,K,J
F,H,I,J
F,H,K,J
D,H,K,J
D,F,K,J
D,F,I,J
D,F,I,K
D,F,I,K
D,F,I,K
D,C,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,I,K
D,F,I,K
F,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,K,K
D,D,I,K
D,F,G,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,D,I,K
E,F,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
D,C,K,K
A,G,H,K
C,G,J,K
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
D,G,J,L
C,G,J,L
C,G,J,L
B,G,J,L
B,F,J,L
B,F,H,L
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,H
B,F,G,H
B,F,H,L
B,F,H,L
B,D,H,L
F,F,H,H
B,F,H,H
B,F,H,H
B,F,H,H
E,F,J,H
B,H,H,H
C,F,H,H
F,F,H,L
D,H,H,L
F,H,K,L
F,H,K,J
F,H,K,J
C,H,K,J
F,H,G,J
F,H,K,J
F,H,G,J
F,H,K,J
D,H,K,J
D,F,K,J
D,F,I,J
D,C,I,K
D,C,I,K
D,F,I,K
C,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,D,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
C,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
E,F,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,F,K,K
E,G,K,K
E,F,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,G,K
E,C,K,K
E,C,K,K
E,H,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,C,K,K
C,G,K,K
C,G,J,K
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
B,G,J,L
B,D,J,L
B,D,H,L
B,C,G,I
E,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,G,H,I
A,D,H,I
B,D,H,I
B,D,H,I
E,D,K,I
B,D,H,I
D,D,H,I
B,D,H,I
A,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,I,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,G,H,I
C,C,G,I
C,C,J,I
C,C,J,G
C,C,J,G
C,C,J,G
C,F,J,G
C,C,J,G
E,C,J,G
F,H,J,G
C,G,J,G
E,G,J,G
C,G,J,I
C,F,J,I
C,H,J,I
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
D,G,J,L
D,C,J,L
D,C,H,L
D,C,H,L
D,C,H,L
D,C,H,L
A,G,I,L
B,C,H,L
D,C,H,L
D,C,H,L
E,C,H,L
E,G,H,L
C,G,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,H,K
E,G,H,K
E,G,H,K
E,G,H,K
D,G,H,G
D,H,H,G
D,H,J,G
D,H,J,G
D,G,J,G
D,H,J,G
D,H,J,G
D,H,H,G
D,H,J,G
D,H,J,I
B,H,J,I
D,H,J,I
D,H,J,I
D,H,J,I
D,H,J,I
D,H,K,I
D,H,J,I
D,H,J,L
D,D,J,L
D,H,J,L
C,H,J,L
C,H,J,L
C,H,K,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,K,L
C,H,H,K
C,H,G,K
B,H,H,K
B,D,G,K
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
F,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,C,H,I
A,D,H,I
A,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,G,G,H
A,C,G,H
A,C,G,H
A,F,G,H
A,C,G,H
A,C,G,H
B,C,G,H
F,D,H,H
B,D,K,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,G,I
C,C,H,I
C,H,G,I
C,C,J,H
C,C,G,H
C,C,G,H
C,C,G,H
C,C,G,H
B,C,K,H
C,C,G,H
B,C,G,H
B,D,G,H
B,D,I,H
B,G,H,I
B,H,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
F,C,J,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,J,H
A,H,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,G,H
B,D,K,H
B,D,K,I
D,F,H,I
B,D,H,I
B,D,H,I
B,D,K,I
C,D,H,I
B,C,H,I
C,D,H,I
C,H,G,I
C,H,K,I
C,H,K,J
F,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
D,H,K,J
D,F,K,J
C,F,I,J
D,F,I,J
D,F,G,J
D,F,I,J
D,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,G,K
D,H,K,K
D,H,I,K
D,H,K,K
D,H,J,K
D,H,K,K
D,H,K,K
D,H,K,K
C,H,K,K
F,F,K,K
C,F,J,K
C,F,J,I
C,F,J,I
C,G,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,F,J,I
E,G,J,I
E,G,I,I
E,G,J,J
E,G,I,J
C,G,I,J
E,G,I,J
E,G,J,J
E,G,I,J
A,G,H,J
E,H,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,G,J
E,G,I,J
E,G,I,K
E,G,K,K
E,G,G,K
A,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,F,I,K
C,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
F,G,I,K
F,G,I,K
B,G,I,K
B,C,I,K
B,D,H,K
B,D,H,I
B,D,G,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
C,C,G,H
A,F,G,H
A,C,G,H
A,C,J,H
E,C,G,H
E,D,G,H
E,D,H,H
E,D,H,L
D,D,H,L
E,D,H,L
E,D,H,L
E,D,H,L
C,D,H,L
E,D,H,L
E,D,H,L
A,C,H,L
A,C,G,L
A,C,G,H
A,C,G,H
A,C,J,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,G,H
B,D,H,H
