a,b,c,d,e
A,F,I,L,M
A,F,I,L,M
A,G,H,L,M
A,G,H,L,M
A,D,H,L,M
A,D,H,L,M
F,F,H,L,M
F,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,J,M
A,F,H,J,M
A,C,H,L,M
A,C,H,L,M
F,D,H,J,M
F,D,H,J,M
A,C,H,G,M
A,C,H,G,M
A,C,H,L,M
A,C,H,L,M
A,C,K,L,M
A,C,K,L,M
A,F,H,L,M
A,F,H,L,M
A,C,H,K,M
A,C,H,K,M
E,C,J,L,M
E,C,J,L,M
A,C,H,L,M
A,C,H,L,M
E,C,H,L,M
E,C,H,L,M
A,C,H,L,M
A,C,H,L,M
F,D,H,H,M
F,D,H,H,M
D,C,H,G,M
D,C,H,G,M
E,C,K,L,M
E,C,K,L,M
A,C,H,L,M
A,C,H,L,M
A,H,H,L,M
A,H,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
D,C,J,L,M
D,C,J,L,M
A,C,H,L,M
A,C,H,L,M
C,C,H,L,M
C,C,H,L,M
B,C,H,L,M
B,C,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,F,H,L,M
C,F,H,L,M
C,D,H,L,M
C,D,H,L,M
B,D,J,L,M
B,D,J,L,M
A,D,G,L,M
A,D,G,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
E,D,I,L,M
E,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,F,I,L,M
C,F,I,L,M
F,G,I,L,M
F,G,I,L,M
C,D,I,I,M
C,D,I,I,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,K,M
C,D,I,K,M
E,G,I,K,H
E,G,I,K,H
C,F,I,K,H
C,F,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,J,K,H
C,D,J,K,H
C,D,I,L,H
C,D,I,L,H
C,D,G,K,H
C,D,G,K,H
C,G,I,K,H
C,G,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
F,D,J,K,H
F,D,J,K,H
C,D,K,J,H
C,D,K,J,H
D,D,I,K,H
D,D,I,K,H
D,G,I,K,H
D,G,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,G,H
D,F,I,G,H
D,G,I,K,H
D,G,I,K,H
D,G,I,K,H
D,G,I,K,H
D,H,J,I,H
D,H,J,I,H
E,H,J,K,H
E,H,J,K,H
D,F,J,K,H
D,F,J,K,H
D,C,J,K,H
D,C,J,K,H
D,C,I,K,H
D,C,I,K,H
D,F,G,I,H
D,F,G,I,H
A,F,J,K,H
A,F,J,K,H
D,C,J,K,H
D,C,J,K,H
D,G,J,K,H
D,G,J,K,H
D,H,J,K,H
D,H,J,K,H
D,F,G,I,H
D,F,G,I,H
D,C,J,G,H
D,C,J,G,H
D,F,J,J,J
D,F,J,J,J
D,F,I,J,J
D,F,I,J,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,I,G,J
D,F,I,G,J
D,F,J,G,J
D,F,J,G,J
D,G,J,G,J
D,G,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
B,F,K,I,J
B,F,K,I,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,I,K,J
D,F,I,K,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,L,J
D,F,J,L,J
D,F,G,G,J
D,F,G,G,J
D,F,J,L,J
D,F,J,L,J
D,F,K,G,J
D,F,K,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,H,J
D,F,J,H,J
D,F,I,G,J
D,F,I,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,G,G,J
D,F,G,G,J
A,F,J,J,J
A,F,J,J,J
A,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,H,G,G,J
A,H,G,G,J
A,H,J,G,J
A,H,J,G,J
A,G,H,G,H
A,G,H,G,H
E,H,I,G,H
E,H,I,G,H
A,G,J,G,H
A,G,J,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,G,G,G,H
A,G,G,G,H
A,G,J,K,H
A,G,J,K,H
A,D,G,H,H
A,D,G,H,H
A,G,G,L,I
A,G,G,L,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,H,G,I
A,G,H,G,I
B,H,G,G,I
B,H,G,G,I
A,G,G,G,I
A,G,G,G,I
E,C,K,G,I
E,C,K,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,I,G,I
A,G,I,G,I
A,D,H,G,I
A,D,H,G,I
A,G,H,G,I
A,G,H,G,I
A,C,H,G,I
A,C,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,K,G,I
A,G,K,G,I
A,F,K,G,I
A,F,K,G,I
A,G,H,G,I
A,G,H,G,I
A,G,G,J,I
A,G,G,J,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,G,K,I
A,G,G,K,I
E,G,H,I,I
E,G,H,I,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
D,F,H,G,I
D,F,H,G,I
E,G,H,G,I
E,G,H,G,I
B,G,J,G,I
B,G,J,G,I
E,G,I,G,I
E,G,I,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,K,G,I
A,G,K,G,I
A,G,H,G,I
A,G,H,G,I
A,G,J,L,I
A,G,J,L,I
C,G,J,G,I
C,G,J,G,I
A,F,H,K,I
A,F,H,K,I
A,C,H,G,I
A,C,H,G,I
A,C,I,I,I
A,C,I,I,I
A,C,H,G,L
A,C,H,G,L
A,C,G,G,L
A,C,G,G,L
A,G,G,G,L
A,G,G,G,L
A,C,G,G,L
A,C,G,G,L
E,H,G,L,L
E,H,G,L,L
A,G,G,H,L
A,G,G,H,L
A,C,J,L,M
A,C,J,L,M
A,C,J,L,M
A,C,J,L,M
A,C,G,L,M
A,C,G,L,M
E,D,G,L,M
E,D,G,L,M
A,C,K,L,M
A,C,K,L,M
F,C,G,L,M
F,C,G,L,M
A,C,G,K,M
A,C,G,K,M
A,C,G,L,M
A,C,G,L,M
B,C,G,L,M
B,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,H,G,L,M
A,H,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,K,G,M
A,C,K,G,M
A,C,K,L,M
A,C,K,L,M
A,C,G,K,M
A,C,G,K,M
A,C,J,L,M
A,C,J,L,M
F,C,H,I,M
F,C,H,I,M
