a,b,c
A,C,G
A,C,G
E,C,G
E,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,C,G
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
C,D,H
C,D,H
C,H,K
C,H,K
A,F,K
A,F,K
C,C,K
C,C,K
C,F,K
C,F,K
C,H,K
C,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,I
D,F,I
D,F,I
D,F,I
C,F,I
C,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,H,I
D,H,I
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
C,H,K
C,H,K
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
B,F,J
B,F,J
E,F,J
E,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
E,H,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,C,I
E,C,I
E,G,I
E,G,I
E,G,I
E,G,I
B,G,I
B,G,I
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,F,H
A,F,H
B,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
F,C,G
F,C,G
E,C,G
E,C,G
E,F,G
E,F,G
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
A,C,H
A,C,H
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,C,G
B,G,H
B,G,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,D,H
A,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,C,G
A,D,G
A,D,G
A,C,G
A,C,G
A,C,G
A,C,G
D,G,G
D,G,G
D,C,H
D,C,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,H
A,G,H
A,G,H
F,H,H
F,H,H
F,H,K
F,H,K
A,H,K
A,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
A,H,K
A,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,H,K
D,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,I
E,C,I
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,D,K
E,D,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,D,K
E,D,K
D,D,K
D,D,K
D,C,K
D,C,K
C,C,K
C,C,K
C,G,K
C,G,K
C,G,J
C,G,J
C,G,J
C,G,J
B,G,J
B,G,J
E,G,J
E,G,J
C,G,J
C,G,J
B,F,J
B,F,J
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
C,F,H
C,F,H
B,G,H
B,G,H
B,C,H
B,C,H
B,F,H
B,F,H
B,F,H
B,F,H
E,F,H
E,F,H
B,F,H
B,F,H
A,F,H
A,F,H
F,F,H
F,F,H
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,I
D,F,I
D,G,I
D,G,I
F,F,I
F,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,F,I
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,D,K
E,D,K
E,C,K
E,C,K
