a,b,c,d
A,C,J,H
A,C,G,H
A,C,G,H
B,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
D,G,G,H
D,H,G,H
C,C,G,H
B,C,H,H
B,D,G,H
E,D,I,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
E,D,H,I
B,F,H,I
B,D,H,I
C,H,H,I
C,H,I,I
C,H,K,J
F,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,C,K,J
C,D,K,J
D,H,I,J
D,F,K,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,K
D,F,J,K
D,F,I,K
D,F,I,K
D,F,I,K
B,H,I,K
D,G,K,K
D,H,H,K
D,H,J,K
D,H,K,K
B,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
C,F,K,K
C,F,J,K
C,F,J,I
C,F,J,I
C,G,J,I
C,F,J,I
C,D,J,I
C,F,J,I
C,F,J,I
E,H,J,I
E,G,J,I
E,G,J,I
B,G,I,J
B,G,J,J
E,G,I,J
E,G,G,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,J,J
E,G,I,J
E,H,I,J
E,G,I,J
E,G,K,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,G,K
A,F,I,K
E,C,I,K
E,D,I,K
B,D,I,K
B,D,I,K
B,D,I,K
E,D,H,I
B,D,H,I
B,H,H,I
E,D,H,I
A,H,I,I
B,D,H,I
C,D,H,I
A,D,H,I
E,C,H,I
A,C,G,I
A,C,G,H
A,H,G,H
A,C,G,H
A,C,G,H
F,C,J,H
A,C,G,H
A,D,G,H
E,C,G,H
B,D,G,H
E,D,K,H
E,D,H,L
E,D,H,L
E,D,H,L
B,C,H,L
D,D,H,L
E,D,H,L
E,D,H,L
A,G,H,L
C,C,H,L
A,C,G,L
A,C,G,H
A,C,I,H
A,F,G,H
A,C,G,H
D,C,H,H
A,C,J,H
A,C,G,H
B,C,G,H
B,H,G,H
B,D,G,H
E,D,H,I
C,D,H,I
B,D,H,I
B,D,H,I
B,D,J,I
B,D,H,I
D,H,I,I
A,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
D,C,G,H
C,C,G,H
A,C,G,H
A,D,G,H
A,C,G,H
A,C,H,H
D,C,G,H
D,G,G,H
D,C,H,H
F,G,H,I
D,G,H,I
D,G,H,I
D,G,H,I
D,C,H,I
D,G,K,I
D,G,H,I
F,H,H,I
D,G,K,I
D,H,K,I
F,H,K,J
F,D,K,J
F,G,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
A,F,K,J
F,C,K,J
B,H,J,J
F,H,K,J
E,H,G,J
F,G,K,J
F,H,I,J
F,H,K,J
C,H,K,J
D,H,K,J
D,G,K,J
D,F,I,J
D,F,G,K
A,F,J,K
D,G,G,K
D,C,K,K
D,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
F,F,I,K
B,F,J,K
D,F,I,K
D,F,K,K
D,H,K,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
E,F,I,K
E,C,J,K
E,C,I,K
E,C,K,K
E,C,K,K
E,G,K,K
E,C,K,K
C,C,K,K
E,C,K,K
B,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,D,K,K
E,C,K,K
C,C,K,K
E,C,K,K
E,C,G,K
E,F,K,K
C,C,K,K
C,G,K,K
C,G,J,K
B,H,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
B,G,J,L
B,F,J,L
B,F,H,L
B,F,H,H
B,C,H,H
B,F,G,H
B,H,H,H
B,F,J,H
A,F,G,H
B,F,K,H
C,F,H,L
B,F,H,L
B,F,H,L
B,F,J,H
B,F,G,H
B,F,J,H
B,F,H,H
B,C,H,H
B,F,H,H
B,F,K,H
F,F,H,L
F,H,I,L
F,H,G,L
F,H,K,J
F,H,K,J
