a,b,c
A,C,G
A,C,G
A,G,G
D,D,G
A,C,G
B,D,G
B,D,H
A,D,H
B,D,H
B,D,H
F,H,H
C,H,K
C,H,K
C,H,K
A,H,K
E,C,K
F,F,I
D,H,I
C,F,I
D,F,I
F,H,I
D,H,K
F,H,K
D,H,K
D,H,K
C,D,K
D,F,J
C,G,J
C,F,J
C,G,J
E,G,J
E,H,I
E,D,I
E,G,I
E,G,I
E,G,I
E,F,I
E,G,I
E,G,I
E,G,I
E,H,I
E,G,I
E,G,I
E,G,I
A,G,I
B,D,I
B,D,H
B,D,H
B,C,H
B,D,H
A,F,H
C,C,G
A,C,G
A,F,G
E,C,G
E,D,G
E,D,H
E,D,H
F,F,H
E,D,H
A,D,H
A,C,G
A,C,G
A,G,G
D,C,G
B,D,G
D,D,H
B,D,H
B,D,H
B,D,H
A,C,H
A,C,G
A,C,G
F,D,G
F,C,G
D,D,G
D,F,H
C,G,H
D,H,H
D,G,H
F,H,H
F,H,K
B,H,K
F,G,K
B,H,K
F,H,K
F,H,K
F,H,K
F,H,K
E,H,K
D,F,K
D,F,I
D,F,I
C,G,I
D,F,I
D,F,I
D,F,I
D,F,I
D,D,I
D,F,I
D,F,I
A,F,I
E,F,I
D,C,K
E,C,K
E,H,K
E,D,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,H,K
C,G,J
C,G,J
C,G,J
C,G,J
B,G,J
B,F,H
B,F,H
D,F,H
B,C,H
C,F,H
B,C,H
F,F,H
B,F,H
B,F,H
E,F,H
F,F,K
B,H,K
F,H,K
F,H,K
D,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,I
D,F,I
D,F,I
C,F,I
B,F,I
D,F,I
C,C,I
E,C,K
E,C,K
D,C,K
E,C,K
E,G,K
C,C,K
C,H,K
E,C,K
E,C,K
C,G,K
E,G,J
C,F,J
C,G,J
D,D,J
B,D,J
F,D,H
B,D,H
E,D,H
B,D,H
B,D,H
C,D,H
C,D,H
B,D,H
B,C,H
E,C,H
B,C,G
D,C,G
A,C,G
D,C,G
B,D,G
B,D,H
B,F,H
B,D,H
B,H,H
C,C,H
C,G,J
C,C,J
A,C,J
C,G,J
C,G,J
C,G,J
C,G,J
B,F,J
C,G,J
B,C,J
D,C,H
D,C,H
D,C,H
D,F,H
E,G,H
E,G,H
E,D,H
E,H,H
E,G,H
D,H,H
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,F,J
F,C,J
C,H,H
C,H,H
C,H,H
C,H,H
A,H,H
C,H,H
B,D,H
B,D,H
B,D,H
B,H,H
B,D,H
B,D,H
B,D,H
B,H,H
A,C,H
A,C,G
A,C,G
A,F,G
A,G,G
B,D,G
B,D,H
B,D,H
D,D,H
B,D,H
C,C,H
C,C,G
D,F,G
F,C,G
C,F,G
B,D,G
B,D,H
B,D,H
B,D,H
B,D,H
A,G,H
B,C,G
A,C,G
A,G,G
A,C,G
D,C,G
D,D,G
A,F,G
A,C,G
A,C,G
B,F,G
B,D,H
B,D,H
B,C,H
E,F,H
C,H,H
C,H,K
C,G,K
C,H,K
C,D,K
D,F,K
D,F,I
F,F,I
D,D,I
A,F,I
F,H,I
D,D,K
B,H,K
D,H,K
D,H,K
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
E,G,J
E,C,I
E,G,I
E,G,I
B,F,I
E,H,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,C,I
B,D,I
B,D,H
B,D,H
B,D,H
B,D,H
A,F,H
A,C,G
A,C,G
D,C,G
A,G,G
E,F,G
B,D,H
E,D,H
E,D,H
E,D,H
A,C,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,G
B,F,H
B,D,H
B,D,H
B,D,H
A,C,H
A,C,G
C,H,G
A,C,G
A,C,G
D,D,G
D,G,H
D,F,H
D,G,H
D,G,H
F,H,H
F,H,K
F,H,K
F,H,K
D,D,K
F,H,K
B,C,K
F,H,K
F,D,K
F,C,K
D,F,K
B,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,H,I
C,F,I
D,D,I
A,F,I
D,F,I
D,F,I
E,H,I
E,C,K
E,C,K
C,C,K
E,C,K
C,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,C,K
C,D,J
E,G,J
C,G,J
C,G,J
B,G,J
B,H,H
B,F,H
B,F,H
B,F,H
A,F,H
B,F,H
