a,b,c
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,F,G
B,D,H
B,D,H
B,D,H
B,D,H
C,H,H
A,F,K
C,H,K
C,H,K
C,H,K
D,F,K
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,H,K
D,F,K
D,H,K
D,H,K
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
D,G,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
D,C,I
B,D,H
B,D,H
C,D,H
E,D,H
A,C,H
A,C,G
A,C,G
A,D,G
A,C,G
E,F,G
B,D,H
E,D,H
E,D,H
E,D,H
A,C,H
A,F,G
C,C,G
A,C,G
A,C,G
B,D,G
B,D,H
B,D,H
B,D,H
B,D,H
A,C,H
A,C,G
A,C,G
A,C,G
A,C,G
D,G,G
D,G,H
D,G,H
B,G,H
A,G,H
F,H,H
A,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
A,H,K
A,H,K
F,H,K
D,F,K
D,F,I
D,F,I
D,C,I
D,F,I
D,F,I
D,C,I
E,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,C,K
E,C,K
E,C,K
E,G,K
E,C,K
E,F,K
E,C,K
D,C,K
D,C,K
C,C,K
C,D,J
C,G,J
B,G,J
C,G,J
B,G,J
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
D,F,H
A,F,H
B,F,H
F,F,H
F,G,K
F,H,K
F,H,K
F,H,K
D,H,K
D,F,I
D,G,I
F,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,I
E,C,K
E,C,K
C,C,K
E,C,K
E,C,K
E,F,K
E,C,K
E,C,K
F,C,K
C,G,K
C,G,J
C,D,J
C,G,J
C,G,J
B,D,J
B,F,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,C,H
C,C,G
A,D,G
A,G,G
A,C,G
B,D,G
B,C,H
B,D,H
B,D,H
B,D,H
C,D,H
C,C,J
C,C,J
C,C,J
C,G,J
C,D,J
C,G,J
C,G,J
C,G,J
C,G,J
D,H,J
D,C,H
D,C,H
D,C,H
F,C,H
E,G,H
E,G,H
E,G,H
D,G,H
E,G,H
B,H,H
D,H,J
D,H,J
D,H,J
D,H,J
E,H,J
D,H,J
D,D,J
D,H,J
D,H,J
C,H,J
C,H,H
C,G,H
C,H,H
C,H,H
C,H,H
C,H,H
B,H,H
D,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,C,H
A,H,G
A,D,G
E,C,G
A,C,G
F,D,G
C,D,H
B,D,H
B,D,H
B,D,H
C,C,H
C,C,G
C,C,G
C,F,G
C,C,G
B,D,G
B,D,H
B,D,H
B,F,H
B,D,H
A,C,H
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
F,D,G
C,D,H
B,D,H
B,D,H
B,F,H
C,H,H
C,H,K
C,H,K
C,H,K
C,H,K
D,F,K
D,G,I
D,F,I
D,F,I
D,F,I
C,H,I
D,F,K
D,H,K
D,H,K
D,H,K
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,I
B,D,H
B,D,H
B,D,H
B,H,H
A,H,H
A,C,G
A,C,G
A,C,G
A,C,G
A,D,G
E,G,H
E,D,H
E,D,H
E,D,H
A,G,H
A,C,G
A,C,G
A,C,G
A,G,G
B,C,G
B,D,H
B,D,H
B,D,H
B,G,H
A,C,H
A,C,G
A,C,G
A,G,G
A,C,G
E,G,G
D,G,H
D,G,H
D,G,H
C,F,H
F,H,H
E,H,K
F,H,K
F,H,K
F,H,K
C,H,K
F,H,K
F,H,K
F,F,K
F,H,K
D,F,K
D,F,I
D,F,I
E,F,I
D,F,I
D,H,I
D,F,I
D,F,I
D,D,I
F,F,I
D,F,I
D,F,I
A,F,I
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,C,K
E,F,K
C,C,K
C,G,J
C,G,J
C,G,J
C,G,J
B,G,J
B,F,H
B,F,H
B,F,H
B,F,H
B,D,H
F,F,H
