a,b,c,d
A,C,K,H
A,C,K,H
A,C,K,H
A,C,K,H
A,C,K,H
A,C,K,H
A,C,K,H
A,C,K,H
A,C,H,H
A,C,H,H
A,C,H,H
A,C,H,H
A,C,H,H
A,C,H,H
A,C,H,H
A,C,H,H
B,C,K,H
B,C,K,H
B,C,K,H
B,C,K,H
B,C,K,H
B,C,K,H
B,C,K,H
B,C,K,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
E,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
F,C,I,H
F,C,I,H
F,C,I,H
F,C,I,H
F,C,I,H
F,C,I,H
F,C,I,H
F,C,I,H
A,C,J,H
A,C,J,H
A,C,J,H
A,C,J,H
A,C,J,H
A,C,J,H
A,C,J,H
A,C,J,H
D,G,G,H
D,G,G,H
D,G,G,H
D,G,G,H
D,G,G,H
D,G,G,H
D,G,G,H
D,G,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,H,H
B,C,H,H
B,C,H,H
B,C,H,H
B,C,H,H
B,C,H,H
B,C,H,H
B,C,H,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
E,H,H,I
E,H,H,I
E,H,H,I
E,H,H,I
E,H,H,I
E,H,H,I
E,H,H,I
E,H,H,I
F,D,H,I
F,D,H,I
F,D,H,I
F,D,H,I
F,D,H,I
F,D,H,I
F,D,H,I
F,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,F,J,I
B,F,J,I
B,F,J,I
B,F,J,I
B,F,J,I
B,F,J,I
B,F,J,I
B,F,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,J,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,F,H,I
B,F,H,I
B,F,H,I
B,F,H,I
B,F,H,I
B,F,H,I
B,F,H,I
B,F,H,I
D,D,H,I
D,D,H,I
D,D,H,I
D,D,H,I
D,D,H,I
D,D,H,I
D,D,H,I
D,D,H,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,K,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,G,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
B,H,I,J
B,H,I,J
B,H,I,J
B,H,I,J
B,H,I,J
B,H,I,J
B,H,I,J
B,H,I,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,H,J
D,H,K,J
D,H,K,J
D,H,K,J
D,H,K,J
D,H,K,J
D,H,K,J
D,H,K,J
D,H,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,F,K,J
D,H,I,J
D,H,I,J
D,H,I,J
D,H,I,J
D,H,I,J
D,H,I,J
D,H,I,J
D,H,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
F,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,H,K
D,F,H,K
D,F,H,K
D,F,H,K
D,F,H,K
D,F,H,K
D,F,H,K
D,F,H,K
D,D,I,K
D,D,I,K
D,D,I,K
D,D,I,K
D,D,I,K
D,D,I,K
D,D,I,K
D,D,I,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,J,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,I,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,G,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
C,H,K,K
C,H,K,K
C,H,K,K
C,H,K,K
C,H,K,K
C,H,K,K
C,H,K,K
C,H,K,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,H,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
