a,b,c
A,C,G
A,C,G
A,H,G
C,D,H
A,D,H
E,D,H
C,H,K
C,D,K
C,H,K
E,C,K
D,F,I
D,F,I
D,H,I
A,H,K
D,H,K
C,H,K
C,F,J
C,D,J
E,F,J
E,H,I
E,C,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
C,H,I
E,G,I
B,C,H
B,D,H
B,G,H
A,C,G
E,F,G
A,C,G
E,D,G
E,D,H
E,D,H
A,C,H
A,C,G
A,G,G
F,C,G
B,D,H
F,D,H
A,D,H
A,C,G
A,F,G
D,C,G
D,G,H
C,G,H
D,G,H
F,H,K
F,G,K
F,H,K
F,H,K
F,H,K
E,G,K
D,C,I
D,F,I
D,F,I
D,F,I
D,C,I
D,F,I
D,F,I
D,F,I
D,C,K
E,C,K
E,C,K
E,H,K
E,C,K
E,C,K
C,G,K
C,H,J
C,G,J
C,F,J
B,F,H
B,C,H
B,H,H
B,C,H
B,F,H
E,F,H
F,F,K
F,H,K
D,D,K
D,F,I
D,F,I
C,D,I
D,F,I
D,F,I
D,F,I
B,F,I
E,F,I
E,C,K
E,C,K
E,G,K
C,C,K
F,F,K
C,C,K
C,F,J
C,G,J
D,D,J
B,D,H
B,G,H
B,D,H
B,D,H
C,D,H
B,D,H
A,C,G
A,C,G
A,D,G
B,D,G
B,D,H
D,D,H
C,C,H
A,H,J
A,C,J
C,G,J
C,C,J
C,D,J
F,G,J
D,C,H
D,H,H
E,C,H
E,G,H
E,G,H
E,G,H
D,H,J
D,H,J
E,H,J
D,H,J
D,H,J
D,H,J
C,H,H
C,F,H
C,C,H
A,H,H
C,H,H
F,D,H
A,D,H
B,D,H
B,D,H
A,D,H
A,C,G
A,C,G
B,C,G
B,D,H
B,F,H
C,D,H
C,C,G
C,C,G
C,F,G
B,D,H
B,D,H
B,C,H
A,C,G
A,C,G
E,C,G
A,C,G
A,C,G
C,C,G
B,F,G
B,D,H
D,D,H
C,H,H
C,H,K
C,H,K
D,H,K
D,F,I
D,F,I
D,F,I
D,D,K
D,H,K
C,H,K
C,F,J
C,G,J
C,F,J
F,G,I
E,F,I
E,G,I
E,G,I
E,G,I
E,H,I
E,H,I
C,G,I
E,G,I
B,D,I
B,D,H
F,D,H
B,H,H
A,H,G
D,C,G
E,C,G
E,D,H
E,D,H
B,D,H
A,C,G
A,C,G
B,C,G
B,D,H
C,D,H
B,D,H
F,C,G
A,C,G
A,H,G
D,G,H
D,F,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,C,K
D,H,K
E,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,H,I
B,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,G,K
C,C,J
C,G,J
B,G,J
B,C,H
B,F,H
B,F,H
A,F,H
B,F,H
B,G,H
F,H,K
F,H,K
F,C,K
D,F,I
D,F,I
D,F,I
D,F,I
A,G,I
D,F,I
D,F,I
E,F,I
A,C,K
E,C,K
E,C,K
E,C,K
A,C,K
E,C,K
C,G,J
C,G,J
C,G,J
B,D,H
B,D,H
D,G,H
B,D,H
C,D,H
B,F,H
A,C,H
B,C,G
A,C,G
B,H,G
B,D,H
B,D,H
C,D,H
B,C,J
C,C,J
C,G,J
C,H,J
C,G,J
C,G,J
D,C,H
E,D,H
D,C,H
E,G,H
D,G,H
F,G,H
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
C,G,J
F,H,H
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
B,D,H
A,D,H
A,C,G
F,C,G
A,C,G
E,D,H
B,D,H
A,C,H
C,C,G
C,C,G
B,D,G
B,D,H
B,D,H
B,D,H
F,G,H
E,C,G
E,C,G
A,C,G
A,C,G
C,C,G
B,C,G
B,D,H
B,D,H
F,D,H
C,H,K
C,D,K
D,F,K
D,F,I
F,F,I
D,F,I
D,H,K
D,H,K
D,H,K
C,F,J
C,F,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
A,G,I
E,F,I
E,D,I
E,G,I
A,G,I
B,H,I
B,D,H
B,D,H
A,C,H
A,C,G
F,C,G
E,C,G
E,H,H
A,H,H
E,D,H
A,F,G
A,C,G
A,C,G
B,D,H
B,D,H
B,G,H
A,C,G
A,D,G
A,C,G
D,F,G
E,G,H
D,G,H
F,H,H
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,H,K
D,F,I
D,F,I
D,F,I
C,F,I
D,D,I
