a,b,c,d,e
A,G,H,L,M
F,F,H,L,M
A,F,H,J,M
F,D,H,J,M
A,C,H,L,M
A,F,H,L,M
E,C,J,L,M
E,C,H,L,M
F,D,H,H,M
E,C,K,L,M
A,H,H,L,M
A,C,H,L,M
A,C,H,L,M
B,C,H,L,M
C,D,H,L,M
C,D,H,L,M
A,D,G,L,M
C,D,I,L,M
C,D,I,L,M
F,G,I,L,M
C,D,I,L,M
C,D,I,K,M
C,F,I,K,H
C,D,J,K,H
C,D,G,K,H
C,D,I,K,H
F,D,J,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,G,H
D,G,I,K,H
E,H,J,K,H
D,C,J,K,H
D,F,G,I,H
D,C,J,K,H
D,H,J,K,H
D,C,J,G,H
D,F,I,J,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,I,K,J
D,F,J,G,J
D,F,G,G,J
D,F,K,G,J
D,F,J,H,J
D,F,J,G,J
D,F,G,G,J
A,F,J,G,J
A,H,G,G,J
A,G,H,G,H
A,G,J,G,H
A,H,G,G,H
A,G,J,K,H
A,G,G,L,I
A,G,G,G,I
A,G,G,G,I
B,H,G,G,I
E,C,K,G,I
A,G,H,G,I
A,G,H,G,I
A,G,I,G,I
A,G,H,G,I
A,G,H,G,I
A,F,K,G,I
A,G,G,J,I
A,G,H,G,I
A,G,G,K,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,I,G,I
E,G,H,G,I
A,G,K,G,I
A,G,J,L,I
A,F,H,K,I
A,C,I,I,I
A,C,G,G,L
A,C,G,G,L
A,G,G,H,L
A,C,J,L,M
E,D,G,L,M
F,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,H,G,L,M
A,C,G,L,M
A,C,K,L,M
A,C,J,L,M
F,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,J,L,M
C,F,G,L,M
F,F,G,L,M
C,F,H,L,M
B,F,I,J,M
C,C,I,J,K
C,F,I,J,K
C,F,I,J,K
C,H,I,J,K
C,C,K,J,K
C,F,H,J,K
B,F,I,J,K
B,F,I,I,K
B,G,J,J,K
D,D,I,J,K
B,D,J,J,K
B,D,H,J,K
D,G,K,I,K
F,D,J,I,L
B,D,J,G,L
B,G,I,I,L
B,F,J,K,L
B,D,J,I,L
B,H,J,I,L
B,D,J,L,L
D,D,J,I,L
D,D,G,I,L
B,D,J,I,L
B,C,K,J,L
F,D,K,J,L
B,D,K,J,L
A,H,K,J,L
A,C,J,J,L
A,D,K,J,L
A,D,K,J,L
A,D,J,J,L
A,D,H,J,M
A,D,H,H,M
A,D,H,J,M
A,D,H,H,M
A,D,K,H,M
A,H,H,H,M
A,D,J,H,H
A,D,H,H,H
A,D,H,H,H
A,C,I,G,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,J,G,H
A,C,H,H,I
A,C,H,G,I
A,H,H,K,I
A,C,H,H,I
A,C,H,K,I
A,H,G,H,I
A,H,I,K,I
A,H,G,K,I
A,H,G,I,I
A,H,G,K,I
A,H,G,I,K
A,H,G,K,K
A,H,H,K,K
A,H,G,K,K
A,H,I,G,K
A,H,I,K,K
A,H,I,K,K
A,C,K,K,K
A,G,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,K,H,K
A,H,I,J,K
A,H,I,J,K
A,H,I,L,K
A,H,I,J,K
A,H,J,J,K
F,H,H,J,K
D,H,K,J,J
D,H,H,J,J
D,H,H,H,J
D,H,H,G,J
D,H,H,L,J
D,H,H,G,J
C,H,G,G,J
D,H,I,J,J
C,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,L,J
D,D,H,J,J
D,H,H,J,J
A,H,H,G,J
C,H,H,J,J
F,H,H,J,J
F,H,H,J,J
F,C,H,J,J
D,F,H,I,J
F,G,K,I,J
F,F,K,I,H
F,H,K,J,H
F,C,K,J,L
F,F,K,J,L
F,F,K,I,L
F,F,G,J,L
F,F,K,J,L
F,F,I,J,L
F,F,J,J,L
F,F,J,L,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,D,K,J,L
C,F,K,J,L
C,F,K,J,L
C,G,K,H,L
C,G,G,J,L
C,G,G,J,L
C,G,G,L,L
C,G,G,L,M
C,G,G,L,M
A,G,G,L,M
C,D,G,L,M
C,G,G,L,M
C,C,G,L,M
C,G,G,I,M
C,D,G,L,M
F,H,G,L,M
E,G,G,L,M
F,D,K,L,M
A,D,G,L,M
E,H,J,L,M
C,G,J,L,M
E,D,J,J,M
E,D,I,J,H
E,D,J,J,H
E,D,I,J,H
E,D,I,J,H
F,D,I,J,H
E,D,I,J,K
E,D,I,K,K
E,F,I,I,K
C,D,H,K,K
E,H,K,K,K
E,D,K,L,K
E,D,K,K,K
E,D,H,K,K
E,H,K,K,K
E,G,G,K,H
E,D,G,K,H
F,D,G,K,H
B,D,G,J,H
C,D,G,J,H
B,D,G,G,H
B,D,J,H,H
D,D,I,J,H
F,D,G,H,M
A,D,G,I,M
D,D,G,J,M
D,D,I,G,M
D,F,I,H,M
D,H,J,J,M
C,D,G,J,M
C,D,I,J,M
C,D,I,J,M
C,F,I,J,M
C,D,H,J,M
C,D,I,J,M
D,D,J,J,M
C,D,I,J,M
B,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,H,I,K,H
C,D,I,K,H
D,D,G,L,H
E,C,I,J,H
D,F,H,K,H
D,F,J,I,H
D,F,J,K,H
D,H,J,K,H
D,H,K,K,H
D,G,J,G,H
D,H,J,G,J
D,C,J,J,J
D,H,J,G,J
D,H,J,G,J
D,H,I,G,J
D,H,J,I,J
E,H,J,G,J
A,H,J,G,J
A,C,J,I,J
A,H,J,G,J
A,H,J,K,J
D,H,J,G,J
A,G,I,G,J
A,D,J,G,I
A,D,K,G,I
B,G,K,K,I
A,F,K,G,I
E,G,K,L,I
E,G,K,G,I
E,G,K,L,I
E,G,K,L,I
E,G,K,L,I
E,G,K,G,I
A,G,K,L,I
E,G,K,L,I
E,G,K,L,I
E,G,K,L,I
E,C,J,L,I
E,C,K,L,M
A,C,I,L,M
B,C,I,G,M
A,H,I,L,M
A,G,I,L,M
A,C,I,J,M
A,C,I,L,M
A,C,G,K,M
A,C,K,L,M
A,C,I,L,M
A,D,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,H,M
