a,b,c
E,C,G
A,C,G
A,C,G
B,D,H
B,D,H
B,D,H
C,H,K
C,C,K
C,H,K
D,F,K
D,F,I
D,F,I
D,H,I
D,H,K
D,H,K
C,H,K
C,F,J
C,F,J
E,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,C,I
E,G,I
B,D,H
B,D,H
B,D,H
B,C,G
A,C,G
F,C,G
E,F,G
E,D,H
E,D,H
A,C,H
A,C,G
A,C,G
B,C,G
B,D,H
B,D,H
A,D,H
A,C,G
A,D,G
A,C,G
D,C,H
D,G,H
A,G,H
F,H,K
F,H,K
F,H,K
F,H,K
A,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,D,K
E,C,K
E,D,K
D,C,K
C,G,K
C,G,J
E,G,J
B,F,J
B,F,H
C,F,H
B,C,H
B,F,H
B,F,H
F,F,H
F,H,K
F,H,K
D,H,K
D,F,I
F,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,C,K
E,D,K
E,C,K
E,F,K
E,C,K
C,C,K
C,G,J
C,G,J
C,G,J
B,D,H
E,C,H
B,D,H
B,D,H
B,D,H
B,G,H
A,C,G
A,F,G
A,C,G
B,D,G
D,D,H
B,D,H
C,C,H
C,C,J
C,C,J
C,G,J
C,G,J
C,C,J
D,G,J
D,C,H
D,C,H
E,H,H
E,G,H
E,G,H
E,G,H
D,C,J
D,H,J
D,C,J
D,H,J
D,D,J
D,F,J
C,H,H
C,H,H
B,H,H
C,H,H
D,H,H
B,D,H
B,D,H
F,D,H
B,D,H
A,G,H
A,C,G
A,C,G
B,C,G
C,D,H
B,D,H
C,D,H
C,C,G
C,C,G
C,C,G
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
A,F,G
A,C,G
F,D,G
B,D,H
B,G,H
C,H,H
C,H,K
C,H,K
D,H,K
D,F,I
D,F,I
F,F,I
D,F,K
D,H,K
C,H,K
C,F,J
C,F,J
C,F,J
F,G,I
E,G,I
E,G,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
D,G,I
B,D,I
B,D,H
B,D,H
F,C,H
A,C,G
A,C,G
E,D,G
E,D,H
E,D,H
A,D,H
A,C,G
A,C,G
B,C,G
F,D,H
B,D,H
B,G,H
A,H,G
A,C,G
