a,b,c,d
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,H,K,I
C,H,K,J
C,H,G,J
C,H,K,J
C,H,J,J
D,F,K,J
D,F,K,J
D,F,I,J
D,F,I,J
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
C,D,J,K
D,C,K,K
D,H,I,K
D,H,K,K
D,H,K,K
C,H,K,K
C,F,J,K
C,F,H,I
C,F,K,I
C,F,J,I
C,F,J,I
C,F,J,I
E,G,J,I
E,F,G,J
A,F,I,J
E,G,I,J
E,G,I,J
E,G,J,J
E,G,I,J
F,G,I,J
E,G,I,J
F,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,J,K
E,G,I,K
E,F,I,K
E,G,I,K
B,C,I,K
E,D,H,K
B,F,H,I
B,D,H,I
B,D,H,I
B,D,K,I
A,H,H,I
A,G,G,I
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
A,C,J,H
E,D,G,H
A,D,H,L
E,D,H,L
E,D,H,L
E,D,H,L
E,D,H,L
A,C,H,L
B,C,G,L
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,K,H
D,C,I,H
D,G,G,H
D,G,H,I
D,G,H,I
D,G,H,I
D,G,H,I
D,G,K,I
F,H,J,I
F,D,K,I
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
A,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,D,K,J
F,H,K,J
D,H,K,J
D,F,I,J
D,F,I,K
B,F,I,K
C,C,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,G,K
D,F,I,K
D,F,I,K
D,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,H,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,C,K,K
C,G,K,K
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
B,F,J,L
B,C,H,H
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,L
B,D,H,L
B,F,H,H
B,F,H,H
B,F,I,H
D,F,H,H
F,F,H,L
F,H,K,L
E,H,K,J
F,H,K,J
F,H,K,J
F,H,G,J
D,H,G,J
D,F,K,J
D,C,I,K
D,F,H,K
C,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,D,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,F,I,K
B,F,I,K
E,C,K,K
E,C,K,K
E,F,K,K
E,C,K,K
E,C,H,K
A,C,K,K
E,C,K,K
E,C,G,K
E,D,K,K
E,C,K,K
E,H,K,K
C,G,K,K
C,G,K,K
C,H,J,L
C,G,J,L
F,G,J,L
C,G,J,L
C,G,J,L
B,D,J,L
B,D,H,L
B,D,K,I
B,D,H,I
B,D,H,I
B,D,G,I
B,D,H,I
B,D,I,I
B,D,H,I
B,D,H,I
B,D,H,I
C,G,H,I
A,D,H,I
A,C,G,I
A,C,G,H
A,C,G,H
D,C,G,H
A,C,G,H
B,C,G,H
B,D,G,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,C,H,I
C,C,J,I
C,C,J,G
C,C,J,G
C,C,J,G
C,G,J,G
C,G,J,G
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
D,D,J,L
D,C,H,L
D,C,H,L
D,C,H,L
D,G,H,L
D,C,H,L
C,C,H,L
E,G,H,L
E,G,H,L
E,G,H,L
B,G,H,K
E,G,H,K
E,G,H,K
D,H,H,G
D,H,J,G
D,H,I,G
D,H,J,G
D,H,H,G
D,H,J,I
D,H,J,I
D,H,J,I
F,H,J,I
D,H,K,I
D,H,J,L
D,H,J,L
C,H,J,L
C,H,H,L
C,H,H,L
C,H,H,L
C,D,H,L
B,G,H,L
C,H,H,L
C,H,H,L
C,G,H,K
C,H,H,K
B,D,H,K
B,D,H,I
B,D,H,I
D,D,H,I
B,D,H,I
B,D,I,I
B,F,K,I
B,D,H,I
B,C,H,I
A,D,H,I
A,C,K,I
E,F,G,H
A,C,G,H
C,C,I,H
A,C,G,H
B,C,G,H
B,D,I,H
B,D,H,I
B,D,H,I
B,D,H,I
B,G,H,I
C,D,H,I
C,C,H,I
F,C,G,H
C,C,G,H
C,C,G,H
C,C,G,H
C,C,G,H
B,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
