attr1,attr2
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
b,e
b,e
d,e
b,e
b,e
c,e
d,e
b,e
b,e
b,e
d,f
b,f
b,f
b,f
b,f
b,f
b,h
b,f
b,h
b,f
b,g
a,h
c,f
b,f
b,f
b,f
b,f
b,f
b,f
b,h
b,f
b,f
b,f
a,f
c,f
d,f
b,f
b,f
d,f
b,f
b,f
b,f
b,f
b,f
d,f
b,f
b,f
b,f
b,e
b,f
c,f
d,f
a,f
c,f
c,g
c,f
d,f
c,f
c,f
c,e
b,e
c,e
c,e
a,e
d,e
d,h
c,f
c,g
c,g
d,g
a,g
c,g
c,g
c,g
c,h
b,f
c,g
d,g
c,g
c,g
c,g
c,g
c,g
a,f
c,f
b,g
c,e
c,g
c,g
d,g
c,e
c,g
c,g
a,g
b,g
c,f
c,h
c,g
c,g
c,f
b,g
d,g
d,g
d,g
d,g
d,g
d,g
d,e
d,g
c,g
d,h
d,h
d,h
b,g
d,h
c,f
c,h
d,h
b,h
d,f
d,h
d,f
d,f
d,h
b,g
c,e
a,e
d,h
d,h
a,h
d,h
d,h
a,h
c,h
d,g
d,h
d,h
d,h
d,h
d,f
d,h
d,h
d,h
d,h
d,f
d,h
d,h
c,h
d,h
b,h
c,h
d,h
d,h
d,h
b,h
d,e
d,h
c,h
c,h
d,e
b,g
d,h
d,h
d,h
b,h
c,h
d,h
d,f
d,h
b,h
a,h
d,h
d,h
d,g
d,h
d,h
d,h
c,h
a,g
d,h
b,h
a,e
a,h
d,g
b,h
a,h
d,h
d,h
b,g
b,h
d,h
c,h
c,h
b,h
d,h
d,e
d,h
d,g
d,h
d,h
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
