attr1,attr2
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,f
b,f
c,f
b,f
b,h
c,f
b,f
b,f
b,f
b,e
b,f
b,f
c,f
b,f
b,f
a,g
b,f
b,f
b,f
b,f
b,f
a,f
b,f
b,f
d,f
b,f
b,f
b,f
b,f
b,e
b,g
b,f
b,g
b,f
b,f
b,e
b,f
b,f
b,e
b,g
c,f
a,h
c,f
c,f
c,e
c,f
a,e
c,f
d,f
c,g
b,e
a,e
c,e
c,e
c,e
c,g
c,h
c,g
c,g
a,h
c,g
d,g
b,g
c,g
c,h
c,f
c,e
c,g
c,h
c,f
c,f
c,h
d,f
a,g
d,g
c,f
c,h
c,g
c,g
c,g
b,g
b,g
c,f
c,g
c,g
c,g
c,g
c,g
c,g
c,e
d,f
d,g
d,g
d,e
d,g
d,g
a,h
a,g
d,g
d,g
d,h
c,h
d,h
b,h
c,h
d,h
d,h
d,h
a,g
d,h
d,h
a,h
d,h
d,h
c,h
a,e
c,e
d,g
c,h
d,h
d,h
d,h
d,h
d,e
d,h
d,e
d,h
d,g
a,e
d,h
d,f
d,h
a,h
d,h
d,h
d,h
d,h
d,e
c,h
c,h
d,g
d,h
b,f
d,h
d,h
d,h
d,h
c,g
c,h
a,h
d,g
d,h
d,h
c,h
a,h
a,h
d,h
d,h
d,h
c,h
c,h
d,f
b,h
d,h
a,h
d,g
d,g
c,h
d,e
d,g
d,h
a,h
c,h
d,h
d,h
d,e
d,h
d,h
c,h
d,h
c,h
b,h
c,h
a,h
a,h
a,f
b,h
b,e
d,f
b,h
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
