a,b,c,d
A,F,G,H
A,C,G,H
A,C,K,H
A,C,J,H
A,C,H,H
A,C,G,H
A,C,H,H
A,C,G,H
A,C,G,H
E,D,H,H
B,C,K,H
D,C,H,H
A,C,G,H
A,C,G,H
A,C,G,H
F,C,G,H
A,F,G,H
A,C,G,H
B,C,G,H
A,D,G,H
A,C,G,H
A,C,G,H
E,C,G,H
A,C,G,H
A,C,H,H
A,H,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
F,C,I,H
A,C,G,H
A,C,G,H
B,C,G,H
A,C,J,H
E,C,G,H
F,G,G,H
A,C,G,H
D,G,G,H
A,C,G,H
A,C,J,H
A,C,G,H
B,C,G,H
D,H,G,H
B,C,G,H
A,H,J,H
A,C,G,H
A,C,G,H
C,C,G,H
A,C,K,H
B,C,G,H
B,C,G,H
B,C,G,H
B,C,H,H
B,C,H,H
B,D,G,H
B,D,G,H
B,H,G,H
B,D,G,H
B,D,G,H
B,D,H,H
B,C,H,H
B,D,H,H
E,D,I,H
C,D,H,H
C,D,K,I
B,D,H,I
B,G,H,I
B,D,H,I
B,D,H,I
E,H,H,I
B,D,H,I
B,D,H,I
B,D,H,I
F,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,G,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
B,D,H,I
B,F,J,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,J,I
B,D,H,I
B,D,H,I
E,D,H,I
B,D,H,I
E,H,H,I
B,D,H,I
B,D,I,I
B,F,H,I
B,D,H,I
C,D,G,I
C,D,H,I
D,D,H,I
B,D,H,I
C,G,H,I
C,H,H,I
C,H,K,I
B,H,H,I
C,H,H,I
F,H,H,I
C,H,K,I
E,G,K,I
C,C,K,I
C,H,I,I
C,H,H,I
C,H,K,J
C,H,K,J
C,D,K,J
C,H,K,J
C,H,K,J
C,H,G,J
C,H,K,J
C,H,K,J
F,H,K,J
D,H,G,J
C,H,K,J
C,G,K,J
F,H,K,J
C,H,K,J
C,C,J,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
A,H,K,J
C,H,K,J
C,H,K,J
C,H,J,J
C,H,K,J
B,H,I,J
C,C,K,J
B,H,K,J
C,H,K,J
C,H,K,J
C,H,J,J
C,D,K,J
B,H,K,J
D,H,H,J
D,H,K,J
E,H,K,J
D,H,I,J
D,H,K,J
D,F,K,J
E,F,J,J
D,F,K,J
D,F,K,J
D,F,G,J
D,F,G,J
D,F,I,J
D,H,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,H,I,J
D,F,I,J
B,F,I,J
E,F,I,J
D,F,I,J
F,F,I,J
D,C,I,J
D,F,I,J
D,F,I,J
D,F,I,J
A,F,I,J
D,C,G,K
D,F,I,K
D,F,H,K
D,F,I,K
B,F,H,K
D,F,I,K
D,D,I,K
D,F,I,K
D,F,J,K
D,F,I,K
C,F,K,K
B,F,I,K
C,F,I,K
D,F,I,K
D,F,J,K
B,F,J,K
D,D,I,K
D,F,I,K
D,F,I,K
D,F,I,K
B,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,J,K
D,H,I,K
D,H,I,K
B,H,I,K
D,G,I,K
D,H,G,K
D,H,K,K
D,H,J,K
D,G,K,K
D,H,K,K
F,H,K,K
D,H,K,K
D,H,K,K
D,H,H,K
D,C,K,K
D,H,K,K
D,H,I,K
C,H,K,K
D,H,J,K
E,H,J,K
D,H,K,K
D,H,H,K
D,H,K,K
D,H,K,K
D,D,K,K
D,H,H,K
D,G,K,K
D,D,K,K
B,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,J,K
F,H,K,K
D,H,K,K
D,H,G,K
D,H,K,K
D,H,K,K
D,H,K,K
D,F,K,K
D,H,K,K
D,H,K,K
D,H,K,K
