a,b,c
A,H,G
A,C,G
A,C,G
A,C,G
A,C,H
A,F,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
A,C,J
A,C,G
A,C,G
A,C,G
C,C,G
A,C,G
A,C,G
C,C,G
A,C,G
A,C,G
A,C,I
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,K
A,C,G
A,C,I
D,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
C,C,G
A,G,G
A,C,G
A,C,G
A,C,G
B,C,G
B,C,G
B,C,G
B,C,J
B,C,G
B,D,G
B,D,G
C,D,G
B,D,G
B,D,G
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
E,F,H
B,D,H
B,H,H
B,D,H
B,D,H
B,D,H
B,D,I
B,D,H
B,D,G
B,D,H
B,G,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,F,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,J
C,D,H
C,D,H
C,D,H
C,D,H
C,D,H
C,H,H
F,H,H
C,G,H
C,H,H
C,H,H
C,H,K
C,H,H
C,H,K
F,H,K
C,F,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,G
C,H,K
C,C,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,D,K
C,H,K
F,G,K
C,H,K
C,H,K
C,H,K
C,D,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,H
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,I
D,F,I
C,G,I
D,F,J
D,F,I
D,F,I
D,F,I
E,C,I
D,F,I
D,F,I
D,D,I
A,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,H,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,K
D,F,I
B,F,I
E,F,I
D,C,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,G
D,F,I
F,H,G
D,F,G
D,F,I
D,F,I
D,F,I
D,F,K
D,F,I
D,F,I
B,H,J
D,H,I
D,D,H
D,H,I
D,H,I
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
A,H,K
F,H,K
D,H,K
D,H,K
D,H,K
D,H,K
C,H,K
D,D,K
D,H,J
F,H,K
D,H,K
D,H,K
E,H,K
D,H,K
D,C,K
D,C,K
D,H,K
A,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,I
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,D,K
D,H,K
D,C,K
D,H,G
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,F,K
E,F,I
C,F,K
C,F,K
F,H,G
C,F,J
C,F,J
C,F,J
C,D,G
C,F,H
C,F,K
A,F,J
C,F,J
C,F,J
C,F,J
C,G,J
C,F,H
C,F,J
C,F,J
C,F,J
A,F,J
C,F,J
C,F,J
E,F,J
C,F,J
B,F,J
C,F,J
A,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,H
C,F,J
C,F,J
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
E,F,J
E,F,G
E,F,H
E,F,J
E,F,J
E,G,J
E,G,H
E,G,J
E,G,J
E,G,J
A,G,I
E,G,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
E,H,I
E,G,I
E,F,J
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,D,I
D,G,I
E,G,I
E,G,I
E,G,I
A,G,I
E,G,I
E,G,I
E,G,H
E,G,G
E,G,H
E,G,I
E,G,J
E,G,I
A,G,I
E,G,I
D,G,I
F,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
C,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,G
A,H,K
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,F,I
E,D,I
C,G,I
E,G,I
C,H,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
C,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
E,G,I
E,G,I
E,G,I
E,G,I
D,C,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
D,G,I
E,G,I
E,F,K
E,G,H
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,J
E,G,I
E,G,I
E,G,I
