a,b,c,d,e
A,F,I,L,M
A,F,H,L,M
A,G,H,L,M
C,F,K,L,M
A,D,H,L,M
A,F,K,L,M
F,F,H,L,M
F,G,H,I,M
A,F,H,L,M
A,C,H,K,M
A,F,H,J,M
A,C,H,L,M
A,C,H,L,M
A,C,G,L,M
F,D,H,J,M
A,C,H,L,M
A,C,H,G,M
A,C,H,L,M
A,C,H,L,M
A,H,J,L,M
A,C,K,L,M
A,H,H,H,M
A,F,H,L,M
B,C,J,K,M
A,C,H,K,M
A,D,H,L,M
E,C,J,L,M
A,C,G,L,M
A,C,H,L,M
A,H,H,G,M
E,C,H,L,M
F,G,I,L,M
A,C,H,L,M
A,C,H,L,M
F,D,H,H,M
A,C,H,L,M
D,C,H,G,M
A,C,J,L,M
E,C,K,L,M
A,C,H,H,M
A,C,H,L,M
F,C,H,L,M
A,H,H,L,M
A,F,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,D,H,L,M
D,C,J,L,M
A,C,J,L,M
A,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,C,I,L,M
B,C,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,J,L,M
C,D,H,L,M
E,D,H,I,M
C,F,H,L,M
F,D,I,L,M
C,D,H,L,M
C,F,G,L,M
B,D,J,L,M
C,C,I,J,M
A,D,G,L,M
C,D,I,L,M
C,D,I,L,M
C,G,I,L,M
C,D,I,L,M
C,D,G,L,M
E,D,I,L,M
C,D,I,L,M
C,D,I,L,M
B,D,I,J,M
C,F,I,L,M
C,D,I,L,M
F,G,I,L,M
A,D,I,L,M
C,D,I,I,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,G,I,K,M
C,D,I,K,M
C,D,I,K,H
E,G,I,K,H
C,D,I,L,H
C,F,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,J,K,H
C,D,I,K,H
C,D,I,L,H
C,D,K,H,H
C,D,G,K,H
C,F,I,K,H
C,G,I,K,H
D,D,I,I,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
A,D,I,K,H
F,D,J,K,H
C,D,I,K,H
C,D,K,J,H
C,D,I,K,H
D,D,I,K,H
D,D,H,K,H
D,G,I,K,H
F,D,K,J,H
D,D,I,K,H
D,H,I,K,H
D,F,I,K,H
D,F,I,G,H
D,F,I,G,H
D,H,J,K,H
D,G,I,K,H
D,F,I,H,H
D,G,I,K,H
D,H,J,J,H
D,H,J,I,H
D,F,J,I,H
E,H,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,C,J,K,H
F,C,J,K,H
D,C,I,K,H
F,F,H,J,H
D,F,G,I,H
D,C,K,K,H
A,F,J,K,H
F,C,J,K,H
D,C,J,K,H
D,F,J,K,H
D,G,J,K,H
B,F,J,H,H
D,H,J,K,H
E,F,J,K,H
D,F,G,I,H
D,F,H,G,H
D,C,J,G,H
D,F,K,G,J
D,F,J,J,J
D,F,J,G,J
D,F,I,J,J
F,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,G,G,J
D,F,I,G,J
D,F,G,H,J
D,F,J,G,J
B,F,G,G,J
D,G,J,G,J
D,F,J,G,J
D,F,J,G,J
F,D,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
B,F,K,I,J
F,H,J,G,J
D,F,J,G,J
E,F,G,I,J
D,F,J,G,J
D,F,J,L,J
D,F,I,K,J
D,G,J,K,J
D,F,J,G,J
D,F,I,G,J
D,F,J,G,J
E,F,J,L,J
D,F,J,L,J
D,F,J,G,J
D,F,G,G,J
D,G,J,G,J
D,F,J,L,J
D,F,J,K,J
D,F,K,G,J
D,F,G,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,H,J
D,D,J,G,J
D,F,I,G,J
