a,b,c,d
B,C,K,H
E,C,G,H
A,C,J,H
A,C,G,H
B,D,G,H
E,H,H,I
B,D,H,I
B,D,H,I
C,H,K,I
C,H,K,J
C,H,K,J
B,H,I,J
D,H,K,J
D,F,I,J
D,F,I,J
C,F,K,K
D,F,I,K
D,H,K,K
D,H,H,K
D,H,K,K
C,G,K,K
C,F,G,K
C,D,G,I
C,F,J,I
C,F,J,I
D,G,I,I
E,G,I,J
E,C,I,J
E,G,H,J
E,G,I,J
E,D,K,J
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,K,K
E,G,K,K
B,D,I,K
F,C,H,I
B,H,H,I
B,D,G,I
A,D,H,I
A,C,G,I
A,C,H,H
F,C,J,H
B,C,G,H
D,D,H,H
E,D,H,L
A,D,H,L
E,D,H,L
D,C,G,L
A,C,G,H
A,G,G,H
A,C,G,H
B,H,G,H
B,D,H,I
B,D,I,I
B,D,H,I
C,C,H,I
A,C,G,H
F,F,G,H
A,C,G,H
D,C,G,H
D,G,H,I
D,G,H,I
B,H,H,I
F,C,H,I
F,H,K,I
F,H,K,J
F,H,K,J
A,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
C,H,K,J
F,F,I,J
B,F,I,K
D,F,H,K
D,C,K,K
D,F,I,K
B,F,I,K
C,F,I,K
D,F,I,K
D,F,J,K
D,H,I,K
E,C,I,K
E,D,K,K
E,C,K,K
E,D,G,K
E,C,K,K
D,C,K,K
E,C,K,K
E,F,K,K
C,C,K,K
C,G,J,K
C,G,J,L
C,G,J,L
C,G,J,L
B,F,H,L
B,C,H,H
E,F,H,H
B,D,H,H
B,F,H,L
C,F,H,H
B,F,H,H
B,H,H,H
F,H,H,L
F,F,K,J
F,H,K,J
D,H,K,J
D,F,K,J
D,F,I,K
D,F,H,K
D,F,G,K
D,F,I,K
A,F,I,K
D,D,I,K
D,F,I,K
D,F,K,K
D,C,I,K
E,D,I,K
E,C,K,K
E,C,K,K
E,C,J,K
E,C,I,K
B,F,K,K
E,H,K,K
A,C,K,K
E,F,K,K
C,F,K,K
C,G,J,L
C,G,G,L
C,G,J,L
B,D,J,L
B,D,H,I
B,H,H,I
B,D,H,I
B,D,H,I
B,H,H,I
B,G,H,I
B,D,H,I
B,G,H,I
A,C,G,I
A,C,G,H
E,G,K,H
B,C,I,H
A,D,H,H
B,D,H,I
D,D,H,I
B,D,H,I
C,C,J,I
C,G,J,G
C,H,G,G
C,G,J,G
C,G,G,G
C,D,J,I
C,G,H,I
C,G,J,I
D,C,J,L
D,C,K,L
E,C,H,L
D,C,H,L
C,C,H,L
C,G,H,L
E,G,H,L
B,F,K,K
D,G,H,G
B,H,G,G
D,H,J,G
D,H,J,G
D,H,J,I
D,H,J,I
E,F,J,I
A,H,I,L
D,H,J,L
A,G,H,L
D,H,H,L
C,F,H,L
C,H,H,L
A,H,J,L
C,F,H,K
B,C,I,K
B,D,H,I
B,D,H,I
B,F,H,I
B,G,H,I
B,D,H,I
F,D,H,I
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,H,H
B,D,H,I
B,D,H,I
C,D,H,I
C,D,G,I
C,C,G,H
A,F,G,H
B,C,G,H
B,D,G,H
B,D,H,I
B,D,K,I
B,D,H,I
A,C,J,I
A,C,G,H
D,C,G,H
A,C,I,H
A,C,G,H
A,D,G,H
E,C,G,H
A,C,G,H
C,C,G,H
B,D,K,I
B,C,K,I
B,D,J,I
C,G,K,I
C,G,K,I
C,G,K,J
C,H,I,J
E,H,J,J
A,F,I,J
D,D,I,J
D,F,I,K
D,F,I,K
D,G,K,K
D,H,K,K
