a,b,c
A,G,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
B,G,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
E,D,H
F,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
A,G,H
F,H,K
F,H,K
F,H,K
F,H,K
F,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
D,F,H
B,F,H
F,H,K
F,H,K
D,G,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,K
E,C,K
A,C,K
F,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
F,C,H
D,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
B,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,F,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
D,D,H
B,H,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,G,G
B,D,H
B,G,H
A,C,G
A,C,G
D,G,H
C,F,H
A,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
F,F,I
B,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,D,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
C,F,I
E,C,K
E,C,K
E,G,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,F,J
C,C,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,D,J
D,D,J
D,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,H,G
A,C,G
B,D,H
B,D,H
C,C,G
C,F,G
B,G,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,H,I
D,H,K
D,H,K
C,F,J
A,F,J
E,G,I
E,G,I
E,D,I
E,G,I
E,G,I
E,G,I
B,D,H
B,H,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,D,I
D,F,I
D,F,I
E,G,K
E,C,K
B,C,K
E,C,K
C,G,J
C,G,J
F,F,H
B,F,H
D,F,H
B,G,H
F,H,K
F,G,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
B,D,J
C,G,J
B,D,H
F,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,C,H
B,D,H
C,C,J
C,H,J
C,D,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
E,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,F,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
C,C,G
B,C,H
C,D,H
C,D,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
B,F,J
B,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
B,D,H
A,F,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,F,G
A,C,G
D,G,H
C,G,H
A,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
B,C,K
E,C,K
E,C,K
E,C,K
E,G,J
E,G,J
B,C,H
E,F,H
B,C,H
B,F,H
F,H,K
F,H,K
F,F,I
D,F,I
D,D,I
D,F,I
D,F,I
E,C,K
C,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
A,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
D,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,G,H
B,D,H
A,C,G
A,C,G
