a,b,c
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
A,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,G,J
E,G,I
E,G,I
B,G,I
E,G,I
E,G,I
A,G,I
C,D,H
B,D,H
A,C,G
E,C,G
D,D,H
E,D,H
A,C,G
D,C,G
B,D,H
B,D,H
A,C,G
F,C,G
D,G,H
D,G,H
C,H,K
B,H,K
F,H,K
E,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,F,K
C,G,J
C,G,J
B,F,H
B,F,H
F,F,H
B,F,H
B,H,K
F,H,K
D,F,I
C,F,I
E,C,I
C,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
D,D,J
B,D,H
B,D,H
B,D,H
B,C,H
F,C,G
D,C,G
B,F,H
B,H,H
C,G,J
C,G,J
C,G,J
C,G,J
D,C,H
D,F,H
E,H,H
E,G,H
D,H,J
D,H,J
D,G,J
D,F,J
C,H,H
C,H,H
B,H,H
B,D,H
B,D,H
B,H,H
A,H,G
A,G,G
F,D,H
B,D,H
C,C,G
C,F,G
B,D,H
B,D,H
D,D,G
A,C,G
A,C,G
A,C,G
B,D,H
E,F,H
C,H,K
C,D,K
D,F,I
A,F,I
B,H,K
D,H,K
A,C,J
C,F,J
E,G,I
B,F,I
A,G,I
E,G,I
E,G,I
E,C,I
B,D,H
B,D,H
A,C,G
A,G,G
E,D,H
E,D,H
A,C,G
A,C,G
B,G,H
B,D,H
C,C,G
A,C,G
F,G,H
D,G,H
F,H,K
D,D,K
F,H,K
F,C,K
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
E,C,K
A,C,K
E,C,K
E,C,K
E,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,H,K
F,H,K
D,F,I
D,H,I
D,H,I
D,D,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
A,H,J
B,D,H
B,D,H
B,D,H
B,C,H
A,C,G
A,C,G
B,D,H
F,D,H
C,C,J
C,G,J
C,G,J
C,G,J
B,C,H
E,C,H
E,G,H
E,G,H
E,H,J
D,G,J
D,F,J
D,H,J
F,H,H
C,C,H
C,H,H
B,D,H
B,D,H
B,D,H
E,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,F,G
B,C,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
F,D,H
B,D,H
F,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,H,J
E,G,I
E,G,I
A,F,I
A,G,I
E,G,I
D,G,I
B,D,H
B,D,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
E,D,H
D,C,G
A,C,G
D,G,H
F,G,H
F,H,K
F,F,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
A,C,K
E,C,K
E,C,K
C,G,J
F,G,J
B,H,H
B,F,H
B,C,H
B,F,H
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,F,J
B,F,H
B,D,H
B,D,H
B,C,H
A,C,G
E,C,G
B,D,H
A,D,H
C,C,J
C,G,J
F,G,J
C,G,J
C,C,H
D,C,H
E,G,H
E,G,H
D,G,J
D,H,J
D,H,J
D,G,J
C,H,H
C,H,H
F,H,H
D,D,H
B,D,H
B,D,H
E,C,G
A,G,G
B,D,H
B,D,H
A,C,G
E,C,G
B,G,H
B,C,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,H,H
C,H,K
C,H,K
D,F,I
C,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,D,I
B,D,H
B,D,H
A,G,G
A,C,G
E,D,H
D,G,H
D,C,G
A,C,G
B,D,H
C,D,H
A,H,G
B,C,G
F,G,H
C,G,H
F,H,K
F,H,K
F,H,K
F,H,K
C,F,I
E,F,I
B,F,I
C,F,I
F,F,I
E,H,K
E,C,K
A,H,K
D,F,K
C,G,J
C,G,J
B,F,H
A,F,H
B,F,H
D,F,H
F,H,K
F,H,K
D,G,I
D,C,I
D,F,I
C,F,I
D,F,I
D,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
E,D,H
E,F,H
E,H,H
B,G,H
A,C,G
A,C,G
B,D,H
F,D,H
C,C,J
C,G,J
C,D,J
E,D,J
D,C,H
D,C,H
E,G,H
E,G,H
F,H,J
D,H,J
D,H,J
B,H,J
C,H,H
C,H,H
C,C,H
B,C,H
B,D,H
B,G,H
A,C,G
A,C,G
E,D,H
B,C,H
C,C,G
C,C,G
B,D,H
C,D,H
A,D,G
A,C,G
