a,b,c,d,e
A,D,H,L,M
A,F,H,J,M
A,C,H,G,M
A,F,H,L,M
A,C,H,L,M
F,D,H,H,M
A,C,H,L,M
A,C,H,L,M
C,C,H,L,M
C,D,H,L,M
B,D,J,L,M
C,D,I,L,M
C,F,I,L,M
C,D,I,L,M
E,G,I,K,H
C,D,J,K,H
C,G,I,K,H
F,D,J,K,H
D,G,I,K,H
D,F,I,G,H
D,H,J,I,H
D,C,J,K,H
A,F,J,K,H
D,H,J,K,H
D,F,J,J,J
D,F,J,G,J
D,G,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,L,J
D,F,J,H,J
D,F,J,G,J
A,F,J,G,J
A,H,J,G,J
A,G,J,G,H
A,G,G,G,H
A,G,G,L,I
A,G,G,G,I
B,H,G,G,I
A,G,H,G,I
A,G,H,G,I
A,D,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,I,I
E,G,H,G,I
B,G,J,G,I
E,G,H,G,I
A,G,H,G,I
A,F,H,K,I
A,C,H,G,L
A,C,G,G,L
A,C,J,L,M
E,D,G,L,M
A,C,G,K,M
A,C,G,L,M
A,C,G,L,M
A,C,K,L,M
F,C,H,I,M
C,C,G,L,M
F,F,H,L,M
C,F,G,L,M
F,F,I,L,M
B,F,I,J,M
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,H,J,K
B,F,I,J,K
B,G,J,J,K
B,F,I,J,K
B,D,H,J,K
B,D,J,I,L
B,D,J,G,L
B,D,J,I,L
B,D,J,I,L
C,D,J,I,L
D,D,J,I,L
B,D,I,I,L
B,C,K,J,L
B,F,J,G,L
A,H,K,J,L
A,D,H,J,L
A,D,K,J,L
A,D,H,J,M
A,D,H,H,M
A,D,H,H,M
A,D,K,H,M
A,D,H,H,H
A,D,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,G,H,H
A,C,H,H,H
A,C,I,K,H
A,C,H,G,I
A,C,H,L,I
A,C,H,K,I
A,C,G,K,I
A,H,G,K,I
A,G,G,I,I
A,H,G,I,K
A,H,J,K,K
A,H,G,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
D,H,G,J,K
D,H,K,J,J
D,H,H,K,J
D,H,H,G,J
D,G,I,G,J
C,H,G,G,J
D,D,H,J,J
D,H,H,J,J
D,H,H,J,J
D,D,H,J,J
D,H,H,J,J
C,H,H,J,J
F,F,H,J,J
F,C,H,J,J
C,F,K,I,J
F,F,K,I,H
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,J,L,L
F,F,K,J,L
F,F,K,J,L
C,F,K,J,L
F,D,K,J,L
D,G,J,J,L
C,G,K,H,L
C,G,J,J,L
C,G,G,L,L
C,D,G,H,M
A,G,G,L,M
F,G,G,H,M
C,C,G,L,M
D,G,G,K,M
F,H,G,L,M
E,D,G,K,M
A,D,G,L,M
E,D,G,L,M
E,D,J,J,M
E,C,J,J,H
E,D,I,J,H
E,D,J,J,H
E,D,I,J,K
E,H,I,K,K
C,D,H,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,G,G,K,H
B,D,G,K,H
B,D,G,J,H
F,C,G,J,H
B,D,J,H,H
D,D,H,J,M
A,D,G,I,M
D,F,G,I,M
D,F,I,H,M
D,D,G,J,M
C,D,I,J,M
C,D,I,J,M
C,D,H,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,J,H
C,D,I,K,H
C,D,J,K,H
D,D,G,L,H
D,C,J,K,H
D,F,J,I,H
D,H,J,K,H
D,H,K,K,H
D,C,K,G,J
D,C,J,J,J
D,H,J,L,J
D,H,I,G,J
D,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,K,J
E,G,J,G,J
A,D,J,G,I
A,H,K,G,I
A,F,K,G,I
E,G,K,L,I
E,G,K,L,I
E,G,K,I,I
E,G,K,G,I
E,G,G,L,I
E,G,K,L,I
E,F,K,L,I
E,C,K,L,M
A,C,I,L,M
A,H,I,L,M
A,C,I,L,M
A,C,I,L,M
E,C,I,K,M
A,C,I,L,M
E,C,I,L,M
A,C,I,L,M
C,C,I,L,M
C,G,I,G,M
C,D,I,L,M
C,D,I,L,M
A,D,I,L,M
F,H,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,G,H
C,D,I,K,H
D,D,I,G,H
D,F,I,L,H
D,F,I,K,H
D,F,K,J,H
D,G,J,K,H
D,F,J,G,J
D,F,J,G,J
B,F,K,G,J
D,D,H,G,J
D,F,I,G,J
D,H,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
A,H,G,G,J
F,G,J,J,H
C,H,I,G,H
A,G,H,G,H
F,G,I,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,I,H,I
C,G,H,H,I
A,C,H,H,I
A,G,H,H,I
A,H,H,H,I
E,G,H,H,I
E,D,H,H,I
A,D,J,H,I
F,G,H,H,I
C,F,H,H,I
A,C,H,H,I
A,C,G,H,M
B,C,G,L,M
E,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,I,L,M
A,C,G,L,M
C,C,K,L,M
C,F,G,L,M
C,F,I,L,M
C,G,J,K,M
C,F,I,J,K
C,H,I,I,K
C,F,J,J,K
D,F,I,J,K
B,F,I,G,K
B,F,I,J,K
B,F,I,J,K
D,F,J,J,K
C,F,J,G,K
B,F,J,G,I
B,F,K,G,I
B,C,K,J,I
F,F,K,G,I
B,F,K,G,I
B,F,K,G,I
C,F,K,G,I
B,F,G,G,I
A,F,K,L,I
A,F,K,L,I
A,F,K,L,I
A,F,K,L,I
A,F,K,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,G,H,I
A,D,G,H,I
A,D,G,K,I
A,D,G,K,I
A,D,H,G,I
A,D,I,K,I
A,F,H,K,J
A,H,H,K,J
A,F,H,K,J
A,F,H,K,J
A,G,H,K,J
A,C,G,K,J
A,C,H,K,J
A,F,I,K,J
A,C,I,H,J
A,C,K,K,H
A,H,K,H,H
A,H,K,J,H
A,H,K,J,H
A,H,K,J,H
A,C,J,I,H
A,H,K,I,H
A,H,K,I,H
A,H,K,G,H
A,H,J,I,H
D,H,K,I,H
