a,b,c
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
B,D,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
B,D,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
B,D,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
B,D,H
B,D,H
C,H,K
C,H,K
D,F,I
D,F,I
D,H,K
D,H,K
C,F,J
C,F,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,D,H
B,D,H
A,C,G
A,C,G
E,D,H
E,D,H
A,C,G
A,C,G
B,D,H
B,D,H
A,C,G
A,C,G
D,G,H
D,G,H
F,H,K
F,H,K
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,F,H
B,F,H
B,F,H
B,F,H
F,H,K
F,H,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,C,K
E,C,K
E,C,K
E,C,K
C,G,J
C,G,J
B,D,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,J
C,G,J
C,G,J
C,G,J
D,C,H
D,C,H
E,G,H
E,G,H
D,H,J
D,H,J
D,H,J
D,H,J
C,H,H
C,H,H
C,H,H
B,D,H
B,D,H
B,D,H
A,C,G
A,C,G
B,D,H
B,D,H
C,C,G
C,C,G
B,D,H
B,D,H
A,C,G
A,C,G
