a,b,c,d,e
A,F,H,L,M
A,C,H,L,M
A,H,H,G,M
A,C,H,L,M
A,C,H,L,M
A,C,J,L,M
A,C,H,L,M
A,C,H,L,M
C,C,I,L,M
C,G,H,L,M
C,F,I,L,M
C,D,I,L,M
C,G,I,L,M
C,D,I,L,M
C,D,I,K,H
C,D,I,K,H
F,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,J,K,H
D,F,I,K,H
D,F,J,K,H
D,F,J,K,H
E,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,H,J
D,F,J,G,J
D,F,J,H,J
D,F,J,I,J
D,F,I,G,J
A,F,J,G,J
A,H,J,G,J
A,H,H,G,H
A,G,G,L,H
A,C,G,I,I
A,G,G,G,I
A,G,G,G,I
F,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
A,G,H,G,I
A,C,H,L,I
A,D,H,G,L
A,C,G,G,L
A,D,I,L,M
A,C,G,L,M
A,C,J,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,F,I,L,M
C,F,I,L,M
F,F,I,J,M
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
B,F,I,J,K
A,D,I,J,K
B,D,K,J,K
B,D,J,J,K
B,F,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,C,J,I,L
B,D,K,I,L
B,D,J,I,L
B,D,K,J,L
B,D,J,J,L
A,D,K,J,L
A,D,J,J,L
A,D,K,J,L
A,D,H,J,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,K,H,H
A,D,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,J,K
A,H,I,J,K
A,G,I,J,K
A,H,I,J,K
A,H,I,J,K
D,H,I,J,K
D,H,H,J,J
B,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,C,H,G,J
D,H,H,J,J
D,H,H,J,J
D,G,H,J,J
F,H,H,J,J
D,H,G,J,J
D,H,H,J,J
F,H,H,J,J
A,F,H,J,J
F,F,K,G,J
F,F,K,I,H
F,F,K,J,L
F,C,K,J,L
F,F,K,J,L
F,G,K,J,L
E,F,K,J,L
F,F,K,J,L
F,F,I,J,L
F,F,K,J,L
F,F,K,J,L
C,F,K,J,L
C,G,K,J,L
C,G,K,J,L
C,G,G,J,L
C,G,G,L,L
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
E,H,G,L,M
E,D,G,L,M
E,D,I,L,M
E,D,J,L,M
E,D,J,L,M
E,D,J,J,H
E,F,I,J,H
E,D,I,J,H
E,D,I,K,K
E,D,I,K,K
E,D,K,K,K
E,D,K,H,K
E,D,K,K,K
E,D,K,K,K
E,H,G,K,H
B,D,G,K,H
B,D,G,J,H
B,D,I,J,H
B,G,H,K,H
D,D,G,J,M
D,D,G,J,M
D,D,G,K,M
D,D,G,J,M
D,D,G,J,M
C,G,G,I,M
D,D,I,J,M
C,D,I,J,M
C,D,K,J,M
C,D,I,J,M
C,D,I,K,H
C,D,I,K,H
C,D,I,I,H
D,D,I,L,H
D,F,J,K,H
D,F,J,K,H
D,H,J,K,H
D,H,J,K,H
E,H,J,G,J
D,D,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
A,H,J,G,J
A,H,J,J,J
A,G,K,G,J
A,G,J,G,J
F,G,J,G,I
A,G,K,G,I
A,G,K,G,I
E,G,K,G,I
E,G,K,L,I
E,G,K,L,I
A,G,K,L,I
E,G,K,L,I
E,G,G,L,I
E,C,K,L,I
E,C,K,L,M
A,F,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
C,C,I,L,M
C,H,I,I,M
C,D,I,L,M
B,H,J,L,M
C,D,I,L,M
C,C,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,J,K,H
D,F,I,K,H
D,F,I,K,H
D,F,J,K,H
D,F,J,K,H
C,F,I,G,J
A,F,J,G,J
D,F,J,G,J
D,H,J,G,J
D,F,J,G,J
D,G,J,G,J
D,F,J,G,J
D,D,J,G,J
C,F,J,G,J
D,F,J,G,J
A,F,J,G,J
F,H,J,G,J
A,H,K,G,H
A,H,H,G,H
A,G,G,G,H
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,K,I
A,G,K,H,I
A,F,H,H,I
C,G,H,H,I
A,G,H,H,I
E,G,H,H,I
F,G,H,H,I
A,G,H,H,I
A,C,H,H,I
A,C,J,H,M
A,D,G,L,M
A,C,H,L,M
A,C,J,L,M
D,C,G,L,M
A,C,G,L,M
D,C,G,L,M
A,C,G,L,M
A,G,G,L,M
C,C,G,L,M
C,F,G,L,M
A,F,G,L,M
C,F,I,L,M
C,F,I,J,K
C,H,I,J,K
C,D,I,J,K
C,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,J,J,K
B,F,J,J,K
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
