a,b,c,d
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,D,G,H
B,D,H,I
B,D,K,I
B,D,H,I
C,H,H,I
C,H,K,J
C,H,K,J
C,H,J,J
D,H,K,J
D,F,I,J
D,F,I,J
D,F,I,K
D,F,I,K
C,D,J,K
D,H,K,K
D,H,K,K
C,H,K,K
C,F,J,K
C,F,J,I
C,F,J,I
C,F,J,I
E,G,J,I
E,G,I,J
E,G,I,J
E,G,G,J
E,G,I,J
E,G,I,J
F,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
B,C,I,K
A,D,H,I
B,D,H,I
B,D,H,I
A,H,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,J,H
E,D,H,H
E,D,H,L
E,D,H,L
E,D,H,L
C,C,J,L
A,C,G,H
A,C,G,H
A,C,G,H
C,D,G,H
B,D,H,I
B,D,H,I
B,D,H,I
A,C,H,I
A,C,G,H
A,C,G,H
A,C,K,H
D,C,G,H
D,G,H,I
D,G,H,I
D,G,H,I
F,G,H,I
F,D,K,I
F,H,K,J
F,H,K,J
F,H,H,J
F,H,K,J
F,H,K,J
F,D,K,J
F,H,K,J
D,F,I,J
D,F,I,K
C,C,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,C,K,K
C,G,J,K
C,G,J,L
C,G,J,L
C,G,J,L
B,F,H,L
B,F,H,H
B,F,H,H
B,F,H,H
B,F,H,L
B,F,H,H
B,F,H,H
D,F,H,H
F,H,J,L
E,H,K,J
F,H,K,J
F,H,G,J
D,F,K,J
D,C,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,G,K
D,F,I,K
D,F,I,K
D,H,I,K
E,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,G,K,K
E,G,J,L
F,G,J,L
C,G,J,L
B,D,J,L
B,C,G,I
B,D,H,I
E,F,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,G,I
A,D,H,I
A,C,G,I
A,C,G,H
A,C,G,H
B,C,G,H
B,D,I,H
B,D,H,I
B,D,H,I
B,D,H,I
C,C,J,I
C,C,J,G
C,C,J,G
C,G,J,G
E,G,J,G
C,G,J,I
C,F,J,I
C,G,J,I
D,C,H,L
D,C,H,L
B,C,H,L
D,C,H,L
E,C,H,L
E,G,H,L
E,G,H,L
E,G,H,K
D,G,H,G
D,H,J,G
E,H,J,G
D,H,H,G
D,H,J,I
D,H,J,I
D,H,J,I
D,H,J,L
D,H,J,L
C,H,H,L
E,H,H,L
C,D,H,L
C,H,H,L
C,H,H,L
C,H,H,K
B,D,H,K
B,F,H,I
D,D,H,I
B,D,H,I
B,F,K,I
B,D,H,I
A,D,H,I
A,G,G,H
A,C,G,H
A,G,G,H
B,C,G,H
B,D,H,H
B,D,H,I
B,D,H,I
C,D,H,I
C,C,G,I
C,C,G,H
C,C,H,H
C,C,G,H
B,D,H,H
B,D,H,I
C,D,H,I
B,D,H,I
A,C,H,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,H,I
B,D,H,I
B,G,H,I
C,D,H,I
C,H,K,I
C,H,G,J
C,H,K,J
D,H,K,J
D,F,I,J
E,F,I,J
D,F,I,K
D,F,I,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
F,F,K,K
C,F,J,I
C,F,J,I
C,F,J,I
E,G,J,I
E,G,J,J
E,G,I,J
E,G,I,J
E,G,I,J
B,G,I,J
E,G,I,J
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
B,G,I,K
C,D,H,K
B,D,H,I
B,D,H,I
B,D,H,I
A,C,H,I
A,C,G,H
A,C,G,H
A,C,G,H
E,D,G,H
E,D,J,L
E,D,H,L
E,D,H,L
A,C,H,L
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,H,I
B,D,H,I
B,D,H,I
A,D,I,I
A,C,G,I
A,D,G,H
A,C,G,H
D,C,G,H
D,G,H,H
D,G,J,I
D,G,H,I
D,G,H,I
F,H,K,I
F,H,K,J
F,H,K,J
F,G,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
D,C,K,J
D,C,I,K
E,F,I,K
D,F,I,K
D,F,I,K
E,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
B,F,I,K
E,F,I,K
E,C,K,K
E,C,K,K
E,G,K,K
E,C,K,K
E,C,G,K
C,C,K,K
E,C,K,K
E,C,K,K
C,G,K,K
C,G,J,L
C,H,J,L
E,G,J,L
B,F,J,L
B,F,H,H
B,F,H,H
B,F,H,H
B,H,H,L
B,F,H,H
D,F,H,H
B,F,H,H
F,F,H,L
F,H,K,J
F,H,K,J
F,H,K,J
D,H,K,J
D,H,I,J
D,F,I,K
D,F,I,K
D,C,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
E,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,I,K
C,D,H,K
C,G,J,L
C,G,J,L
B,G,J,L
B,G,J,L
B,D,H,L
B,D,H,I
B,D,H,I
B,D,G,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
E,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
B,D,G,H
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,C,H,G
C,C,J,G
C,F,J,G
B,C,J,G
C,G,J,I
C,G,J,I
C,G,J,I
D,G,J,L
D,C,H,L
D,C,K,L
D,C,H,L
E,C,H,L
E,G,H,L
D,G,H,L
E,G,H,K
E,D,H,K
D,G,J,G
D,H,J,G
D,H,J,G
D,H,I,I
A,H,J,I
D,H,J,I
B,H,J,I
D,F,J,L
C,H,J,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,K
B,H,H,K
B,D,H,I
B,H,H,I
B,D,H,I
F,D,H,I
B,D,K,I
A,D,H,I
A,C,G,I
A,C,G,H
B,C,G,H
A,H,G,H
